epoch,train_loss,val_obj_beam1
1,1.5797108592866342,-23.4921875
2,1.4289831556851351,-22.96875
3,1.3756796091417722,-23.109375
4,1.313030658643457,-23.1328125
5,1.3156412794620176,-23.234375
6,1.3555993339683436,-23.2109375
7,1.2937261205685289,-23.1484375
8,1.2819590130938758,-23.453125
9,1.2970025275326982,-23.5625
10,1.3275024634373338,-23.1953125
11,1.2764987017534957,-23.0390625
12,1.3318233746516555,-23.3046875
13,1.2969719850564305,-23.375
14,1.2914314526545851,-23.0390625
15,1.2932986458645592,-23.2265625
